"HDI","Country","Edu2.FM","Life.Exp","mean.edu","GNI","Mat.Mor","Ado.Birth","Parli.F"
"63",0.777,"Mauritius",0.851724137931034,74.4,8.5,17470,73,30.9,11.6
"64",0.772,"Seychelles",1.0045045045045,73.1,9.4,23300,NA,56.3,43.8
"65",0.772,"Trinidad and Tobago",0.980295566502463,70.4,10.9,26090,84,34.8,24.7
"66",0.771,"Serbia",0.793478260869565,74.9,10.5,12190,16,16.9,34
"67",0.769,"Cuba",0.942893401015228,79.4,11.5,7301,80,43.1,48.9
"68",0.769,"Lebanon",0.956678700361011,79.3,7.9,16509,16,12,3.1
"69",0.766,"Costa Rica",1.0039603960396,79.4,8.4,13413,38,60.8,33.3
"70",0.766,"Iran (Islamic Republic of)",0.920118343195266,75.4,8.2,15440,23,31.6,3.1
"71",0.762,"Venezuela (Bolivarian Republic of)",1.11417322834646,74.2,8.9,16159,110,83.2,17
"72",0.761,"Turkey",0.65,75.3,7.6,18677,20,30.9,14.4
"73",0.757,"Sri Lanka",0.951570680628272,74.9,10.8,9779,29,16.9,5.8
"74",0.756,"Mexico",0.919141914191419,76.8,8.5,16056,49,63.4,37.1
"75",0.755,"Brazil",1.04198473282443,74.5,7.7,15175,69,70.8,9.6
"76",0.754,"Georgia",0.967637540453074,74.9,12.1,7164,41,46.8,11.3
"77",0.752,"Saint Kitts and Nevis",NA,73.8,8.4,20805,NA,NA,6.7
"78",0.751,"Azerbaijan",0.962012320328542,70.8,11.2,16428,26,40,15.6
"79",0.75,"Grenada",NA,73.4,8.6,10939,23,35.4,25
"80",0.748,"Jordan",0.885350318471338,74,9.9,11365,50,26.5,11.6
"81",0.747,"The former Yugoslav Republic of Macedonia",0.723021582733813,75.4,9.3,11780,7,18.3,33.3
"82",0.747,"Ukraine",0.956204379562044,71,11.3,8178,23,25.7,11.8
"83",0.736,"Algeria",0.861290322580645,74.8,7.6,13054,89,10,25.7
"84",0.734,"Peru",0.851739788199697,74.6,9,11015,89,50.7,22.3
"85",0.733,"Albania",0.930602957906712,77.8,9.3,9943,21,15.3,20.7
"86",0.733,"Armenia",0.989473684210526,74.7,10.9,8124,29,27.1,10.7
"87",0.733,"Bosnia and Herzegovina",0.643266475644699,76.5,8.3,9638,8,15.1,19.3
"88",0.732,"Ecuador",1.01776649746193,75.9,7.6,10605,87,77,41.6
"89",0.729,"Saint Lucia",NA,75.1,9.3,9765,34,56.3,20.7
"90",0.727,"China",0.816411682892907,75.8,7.5,12547,32,8.6,23.6
"91",0.727,"Fiji",0.995348837209302,70,9.9,7493,59,42.8,14
"92",0.727,"Mongolia",1.01426872770511,69.4,9.3,10729,68,18.7,14.9
"93",0.726,"Thailand",0.875,74.4,7.3,13323,26,41,6.1
"94",0.724,"Dominica",1.2801724137931,77.8,7.9,9994,NA,NA,21.9
"95",0.724,"Libya",1.32458233890215,71.6,7.3,14911,15,2.5,16
