"HDI","Edu2.FM","Life.Exp","Mean.Edu","GNI","Mat.Mor","Ado.Birth","Parli.F"
"Mongolia",0.727,1.01426872770511,69.4,9.3,10729,68,18.7,14.9
"Thailand",0.726,0.875,74.4,7.3,13323,26,41,6.1
"Libya",0.724,1.32458233890215,71.6,7.3,14911,15,2.5,16
"Tunisia",0.721,0.711496746203904,74.8,6.8,10404,46,4.6,31.3
"Colombia",0.72,1.02338129496403,74,7.3,12040,83,68.5,20.9
"Jamaica",0.719,1.05413105413105,75.7,9.7,7415,80,70.1,16.7
"Tonga",0.717,0.990939977349943,72.8,10.7,5069,120,18.1,0
"Belize",0.715,1.00791556728232,70,10.5,7614,45,71.4,13.3
"Dominican Republic",0.715,1.04708097928437,73.5,7.6,11883,100,99.6,19.1
"Suriname",0.714,0.94692144373673,71.1,7.7,15617,130,35.2,11.8
"Maldives",0.706,0.834862385321101,76.8,5.8,12328,31,4.2,5.9
"Samoa",0.702,1.07166666666667,73.4,10.3,5327,58,28.3,6.1
"Botswana",0.698,0.944801026957638,64.5,8.9,16646,170,44.2,9.5
"Moldova (Republic of)",0.693,0.968944099378882,71.6,11.2,5223,21,29.3,20.8
"Egypt",0.69,0.724422442244224,71.1,6.6,10512,45,43,2.2
"Gabon",0.684,1.49307479224377,64.4,7.8,16367,240,103,16.2
"Indonesia",0.684,0.810975609756098,68.9,7.6,9788,190,48.3,17.1
"Paraguay",0.679,0.855813953488372,72.9,7.7,7643,110,67,16.8
"Philippines",0.668,1.03453689167975,68.2,8.9,7915,120,46.8,27.1
"El Salvador",0.666,0.844036697247706,73,6.5,7349,69,76,27.4
"South Africa",0.666,0.957839262187088,57.4,9.9,12122,140,50.9,40.7
"Viet Nam",0.666,0.834269662921348,75.8,7.5,5092,49,29,24.3
"Bolivia (Plurinational State of)",0.662,0.805414551607445,68.3,8.2,5760,200,71.9,51.8
"Kyrgyzstan",0.655,0.976239669421488,70.6,10.6,3044,75,29.3,23.3
"Iraq",0.654,0.553784860557769,69.4,6.4,14003,67,68.7,26.5
"Guyana",0.636,1.26150627615063,66.4,8.5,6522,250,88.5,31.3
"Nicaragua",0.631,1.02872062663185,74.9,6,4457,100,100.8,39.1
"Morocco",0.628,0.685430463576159,74,4.4,6850,120,35.8,11
"Namibia",0.628,0.968023255813953,64.8,6.2,9418,130,54.9,37.7
"Guatemala",0.627,0.943965517241379,71.8,5.6,6929,140,97.2,13.3
"Tajikistan",0.624,1.04276315789474,69.4,10.4,2517,44,42.8,15.2
"India",0.609,0.477031802120141,68,5.4,5497,190,32.8,12.2
"Honduras",0.606,1.08527131782946,73.1,5.5,3938,120,84,25.8
"Bhutan",0.605,0.985507246376812,69.5,3,7176,120,40.9,8.3
"Syrian Arab Republic",0.594,0.728395061728395,69.6,6.3,2728,49,41.6,12.4
"Congo",0.591,0.84468085106383,62.3,6.1,6012,410,126.7,11.5
"Zambia",0.586,0.586363636363636,60.1,6.6,3734,280,125.4,12.7
"Ghana",0.579,0.698608964451314,61.4,7,3852,380,58.4,10.9
"Bangladesh",0.57,0.825665859564165,71.6,5.1,3191,170,80.6,20
"Cambodia",0.555,0.432314410480349,68.4,4.4,2949,170,44.3,19
"Kenya",0.548,0.805732484076433,61.6,6.3,2762,400,93.6,20.8
"Nepal",0.548,0.463350785340314,69.6,3.3,2311,190,73.7,29.5
"Pakistan",0.538,0.418655097613883,66.2,4.7,4866,170,27.3,19.7
"Myanmar",0.536,1.49673202614379,65.9,4.1,4608,200,12.1,4.7
"Swaziland",0.531,0.842307692307692,49,7.1,5542,310,72,14.7
"Tanzania (United Republic of)",0.521,0.589473684210526,65,5.1,2411,410,122.7,36
"Cameroon",0.512,0.610315186246418,55.5,6,2803,590,115.8,27.1
"Zimbabwe",0.509,0.785483870967742,57.5,7.3,1615,470,60.3,35.1
"Mauritania",0.506,0.397129186602871,63.1,3.8,3560,320,73.3,22.2
"Papua New Guinea",0.505,0.524137931034483,62.6,4,2463,220,62.1,2.7
"Yemen",0.498,0.322097378277154,63.8,2.6,3519,270,47,0.7
"Lesotho",0.497,1.15263157894737,49.8,5.9,3306,490,89.4,26.8
"Togo",0.484,0.399503722084367,59.7,4.5,1228,450,91.5,17.6
"Haiti",0.483,0.636363636363636,62.8,4.9,1669,380,42,3.5
"Rwanda",0.483,0.909090909090909,64.2,3.7,1458,320,33.6,57.5
"Uganda",0.483,0.683582089552239,58.5,5.4,1613,360,126.6,35
"Benin",0.48,0.418518518518519,59.6,3.3,1767,340,90.2,8.4
"Sudan",0.479,0.664835164835165,63.5,3.1,3809,360,84,23.8
"Senegal",0.466,0.467532467532468,66.5,2.5,2188,320,94.4,42.7
"Afghanistan",0.465,0.197986577181208,60.4,3.2,1885,400,86.8,27.6
